index,RIC,ADV_USD,Days_Used,Latest_Date
0,A2.MI,31475006.161350474,73,2026-02-20
1,AAF.L,27204549.816467103,75,2026-02-20
2,AAK.ST,13037089.464574771,75,2026-02-20
3,AAL.L,214777924.58977872,75,2026-02-20
4,AALB.AS,7721497.521976341,75,2026-02-20
5,ABBN.S,197091487.54320157,75,2026-02-20
6,ABDN.L,10418958.167644292,75,2026-02-20
7,ABF.L,24688594.606502954,75,2026-02-20
8,ABI.BR,117713619.36625671,75,2026-02-20
9,ABNd.AS,76912293.5907924,75,2026-02-20
10,ABVX.PA,18775345.462844953,75,2026-02-20
11,ACCP.PA,33343009.761667393,75,2026-02-20
12,ACKB.BR,7661037.466963107,75,2026-02-20
13,ACLN.S,12728383.408618541,75,2026-02-20
14,ACPP.WA,9777249.105598753,75,2026-02-20
15,ACS.MC,36672617.61016844,75,2026-02-20
16,AD.AS,76033161.82725166,75,2026-02-20
17,ADDTb.ST,13199529.063170595,75,2026-02-20
18,ADEN.S,23773504.171990883,75,2026-02-20
19,ADML.L,31653925.397427633,75,2026-02-20
20,ADP.PA,11246356.628973946,75,2026-02-20
21,ADSGn.DE,110703018.42605689,75,2026-02-20
22,ADYEN.AS,136573627.7980794,75,2026-02-20
23,AEGN.AS,49292461.3697995,75,2026-02-20
24,AENA.MC,35395201.95884813,75,2026-02-20
25,AG1G.DE,14245465.671416683,75,2026-02-20
26,AGES.BR,20450548.81933428,75,2026-02-20
27,AHT.L,84701013.80562615,75,2026-02-20
28,AIBG.I,38845197.54842966,75,2026-02-20
29,AIR.PA,241810995.82594222,75,2026-02-20
30,AIRP.PA,137311862.992297,75,2026-02-20
31,AKE.PA,18973360.961883858,75,2026-02-20
32,AKRBP.OL,28671899.505853437,75,2026-02-20
33,AKZO.AS,39035478.02031063,75,2026-02-20
34,ALCC.S,91294384.06789722,75,2026-02-20
35,ALEP.WA,37770647.93296607,75,2026-02-20
36,ALFA.ST,31792273.13480355,75,2026-02-20
37,ALKb.CO,6098004.042894282,75,2026-02-20
38,ALLFG.AS,13150921.45116861,75,2026-02-20
39,ALLN.S,6762534.578237927,75,2026-02-20
40,ALSO.PA,32127838.536743227,75,2026-02-20
41,ALSYDB.CO,10152104.597457761,75,2026-02-20
42,ALVG.DE,218277675.2134206,75,2026-02-20
43,AM.PA,19176730.1899482,75,2026-02-20
44,AMA.MC,51808111.34281941,75,2026-02-20
45,AMBUb.CO,12577778.913391454,75,2026-02-20
46,AMPF.MI,26450157.522695586,73,2026-02-20
47,AMRZ.S,108583985.70343548,75,2026-02-20
48,AMUN.PA,12492982.785793288,75,2026-02-20
49,AMV0n.DE,9094713.526579471,75,2026-02-20
50,ANA.MC,14446852.86368936,75,2026-02-20
51,ANDR.VI,6368640.776235745,75,2026-02-20
52,ANTO.L,57845239.1725273,75,2026-02-20
53,AOO.BR,8975409.995965566,75,2026-02-20
54,ARDS.AS,10854815.046321318,75,2026-02-20
55,ARGX.BR,66750112.252322145,75,2026-02-20
56,ASMI.AS,122238242.71584536,75,2026-02-20
57,ASML.AS,747004325.6895516,75,2026-02-20
58,ASRNL.AS,25857821.19458622,75,2026-02-20
59,ASSAb.ST,63071352.126406275,75,2026-02-20
60,ATCOa.ST,91260075.41100402,75,2026-02-20
61,AUTOA.L,35102500.00666076,75,2026-02-20
62,AV.L,58272374.86372953,75,2026-02-20
63,AVANZ.ST,11296260.452773063,75,2026-02-20
64,AVOL.S,10650848.490465185,75,2026-02-20
65,AXAF.PA,160524494.82386485,75,2026-02-20
66,AXFO.ST,9678237.544423772,75,2026-02-20
67,AYV.PA,12132776.711996702,75,2026-02-20
68,AZE.BR,5730567.109276767,75,2026-02-20
69,AZMT.MI,40488291.986508876,73,2026-02-20
70,AZN.L,434881621.6903747,75,2026-02-20
71,BAB.L,35566131.07462499,75,2026-02-20
72,BAER.S,41835858.65985765,75,2026-02-20
73,BAES.L,170872838.99287108,75,2026-02-20
74,BAKKA.OL,5507389.5103292,75,2026-02-20
75,BALDb.ST,11264553.763425121,75,2026-02-20
76,BALF.L,11387555.871868279,75,2026-02-20
77,BAMI.MI,92651419.94426012,73,2026-02-20
78,BARC.L,238701642.3369271,75,2026-02-20
79,BARN.S,19650212.250272434,75,2026-02-20
80,BASFn.DE,129993711.15653926,75,2026-02-20
81,BATS.L,249410252.30244294,75,2026-02-20
82,BAVA.CO,12795184.098819578,75,2026-02-20
83,BAWG.VI,17216886.401614536,75,2026-02-20
84,BAYGn.DE,162227197.37091178,75,2026-02-20
85,BBOXT.L,13047235.127547132,75,2026-02-20
86,BBVA.MC,197348027.37644407,75,2026-02-20
87,BC8G.DE,10959819.092500413,75,2026-02-20
88,BCP.LS,55144895.37822607,75,2026-02-20
89,BCU.MI,40221010.851157054,73,2026-02-20
90,BCVN.S,6447396.398656397,75,2026-02-20
91,BEAN.S,21284069.6426334,75,2026-02-20
92,BEIG.DE,35034171.07303639,75,2026-02-20
93,BEIJb.ST,11690892.028138405,75,2026-02-20
94,BESI.AS,76164604.61715703,75,2026-02-20
95,BEZG.L,64034612.73972267,75,2026-02-20
96,BGEO.L,10868394.55021926,75,2026-02-20
97,BGN.MI,15723405.815077184,73,2026-02-20
98,BIOX.PA,14783202.765901458,75,2026-02-20
99,BIRG.I,36063749.734009095,75,2026-02-20
100,BKGH.L,16192316.313392764,75,2026-02-20
101,BKT.MC,24970479.510279674,75,2026-02-20
102,BKWB.S,11523450.933253516,75,2026-02-20
103,BLND.L,31633003.36891035,75,2026-02-20
104,BMEB.L,15349765.511044843,75,2026-02-20
105,BMED.MI,29809879.514190204,73,2026-02-20
106,BMPS.MI,284891647.29026264,73,2026-02-20
107,BMWG.DE,93394604.46304865,75,2026-02-20
108,BNPP.PA,242172916.61808217,75,2026-02-20
109,BNRGn.DE,18849477.2008871,75,2026-02-20
110,BNZL.L,28645582.35790259,75,2026-02-20
111,BOL.ST,77275745.17988874,75,2026-02-20
112,BOLL.PA,6134230.804229718,75,2026-02-20
113,BOUY.PA,32734878.201579038,75,2026-02-20
114,BP.L,227715046.03268993,75,2026-02-20
115,BPTB.L,8798720.46814783,75,2026-02-20
116,BRBY.L,24232963.29329748,75,2026-02-20
117,BT.L,39509185.38170337,75,2026-02-20
118,BTRW.L,24650124.803515617,75,2026-02-20
119,BUCN.S,6722685.101530447,75,2026-02-20
120,BVI.PA,27932506.144906357,75,2026-02-20
121,BWY.L,18390561.35793523,75,2026-02-20
122,BYG.L,9398668.65873205,75,2026-02-20
123,BZU.MI,34364989.43239552,73,2026-02-20
124,CABK.MC,75593205.96228613,75,2026-02-20
125,CAGR.PA,73237714.80611068,75,2026-02-20
126,CAMX.ST,9437774.896205708,75,2026-02-20
127,CAPP.PA,75211550.36134066,75,2026-02-20
128,CARLb.CO,25916342.773011234,75,2026-02-20
129,CARR.PA,38375925.61586162,75,2026-02-20
130,CAST.ST,14754941.665477725,75,2026-02-20
131,CBKG.DE,121858120.29065102,75,2026-02-20
132,CCH.L,30299644.750350118,75,2026-02-20
133,CCL.L,20427866.080581546,75,2026-02-20
134,CDR.WA,22920754.258152734,75,2026-02-20
135,CFR.S,174167151.00572976,75,2026-02-20
136,CLNX.MC,43569206.163686246,75,2026-02-20
137,CMBN.S,8445526.061795726,75,2026-02-20
138,CNA.L,41082812.494621776,75,2026-02-20
139,COFB.BR,5607961.964357282,75,2026-02-20
140,COLOb.CO,27068117.0956089,75,2026-02-20
141,CONG.DE,32897452.382602036,75,2026-02-20
142,CPG.L,147484115.35866013,75,2026-02-20
143,CPRI.MI,54316968.46622062,73,2026-02-20
144,CRDA.L,22332897.797957383,75,2026-02-20
145,CRDI.MI,404514399.726364,73,2026-02-20
146,CTEC.L,29775685.758228805,75,2026-02-20
147,CVC.AS,13979046.290224709,75,2026-02-20
148,CVO.PA,6661013.807096047,75,2026-02-20
149,CWK.L,7989435.786996578,75,2026-02-20
150,DANO.PA,114281045.55412965,75,2026-02-20
151,DANSKE.CO,50727359.267776385,75,2026-02-20
152,DAST.PA,69636657.33802089,75,2026-02-20
153,DB1Gn.DE,114385389.29743162,75,2026-02-20
154,DBKGn.DE,199630570.74533662,75,2026-02-20
155,DCC.L,49148265.21237042,75,2026-02-20
156,DEMANT.CO,13314833.722379755,75,2026-02-20
157,DGE.L,123939127.63589923,75,2026-02-20
158,DHER.DE,26568328.477654956,75,2026-02-20
159,DHLn.DE,93123311.76312952,75,2026-02-20
160,DIOR.PA,2567131.7979797553,75,2026-02-20
161,DKSH.S,6996793.010517392,75,2026-02-20
162,DLG.MI,7048774.961331009,73,2026-02-20
163,DLN.L,7043251.383524126,75,2026-02-20
164,DNB.OL,47052976.53566599,75,2026-02-20
165,DNP.WA,32311976.870643634,75,2026-02-20
166,DPLM.L,25699060.23190402,75,2026-02-20
167,DRX.L,14142642.064887516,75,2026-02-20
168,DSFIR.AS,58583320.113681056,75,2026-02-20
169,DSV.CO,94485012.68143754,75,2026-02-20
170,DTEGn.DE,223275470.78560573,75,2026-02-20
171,DTGGe.DE,49910764.79019943,75,2026-02-20
172,EDEN.PA,22900182.162202053,75,2026-02-20
173,EDP.LS,50701713.89754716,75,2026-02-20
174,EDPR.LS,14083800.429419395,75,2026-02-20
175,ELE.MC,26933672.276832934,75,2026-02-20
176,ELI.BR,17670621.53054041,75,2026-02-20
177,ELIS.PA,8070779.639644292,75,2026-02-20
178,ELISA.HE,20399665.181583818,75,2026-02-20
179,EMG.L,8705097.954822497,75,2026-02-20
180,EMII.MI,121022394.08980152,73,2026-02-20
181,EMSN.S,9781950.08309288,75,2026-02-20
182,ENAG.MC,16781119.628154937,75,2026-02-20
183,ENEI.MI,232804916.0544025,73,2026-02-20
184,ENGIE.PA,113640779.92506537,75,2026-02-20
185,ENI.MI,188499762.5359509,73,2026-02-20
186,ENR1n.DE,346492679.18591326,75,2026-02-20
187,ENT.L,22401204.37693195,75,2026-02-20
188,ENX.PA,44622080.67168268,75,2026-02-20
189,EONGn.DE,79574298.66251019,75,2026-02-20
190,EPIRa.ST,39543131.20296632,75,2026-02-20
191,EQNR.OL,82599825.77960941,75,2026-02-20
192,EQTAB.ST,67102552.47194349,75,2026-02-20
193,ERICb.ST,64958041.87276522,75,2026-02-20
194,ERST.VI,40686717.54758205,75,2026-02-20
195,ESLX.PA,170675802.02715942,75,2026-02-20
196,ESSITYb.ST,40340199.816425696,75,2026-02-20
197,EUFI.PA,21785559.75211903,75,2026-02-20
198,EURA.PA,5700364.789791836,75,2026-02-20
199,EVDG.DE,17069054.222792126,75,2026-02-20
200,EVKn.DE,20278554.738995846,75,2026-02-20
201,EVOG.ST,41092439.96729912,75,2026-02-20
202,EXHO.PA,16152786.219601272,75,2026-02-20
203,EXOR.AS,19931594.76450982,75,2026-02-20
204,EXPN.L,143628917.73700246,75,2026-02-20
205,EZJ.L,25758510.77568034,75,2026-02-20
206,FBK.MI,50446300.19197869,73,2026-02-20
207,FDJU.PA,15217309.196461821,75,2026-02-20
208,FER.MC,46467726.503900245,75,2026-02-20
209,FHZN.S,13698876.013848094,75,2026-02-20
210,FLS.CO,11667849.820156198,75,2026-02-20
211,FMEG.DE,40207606.07501707,75,2026-02-20
212,FNTGn.DE,10242176.092249546,75,2026-02-20
213,FORTUM.HE,30964727.925248984,75,2026-02-20
214,FOUG.PA,31201409.138326503,75,2026-02-20
215,FPE3_p.DE,4594981.924136382,75,2026-02-20
216,FRAG.DE,11370137.347304799,75,2026-02-20
217,FREG.DE,41645273.95022741,75,2026-02-20
218,FRES.L,54477767.826928005,75,2026-02-20
219,FRO.OL,34113854.47632172,75,2026-02-20
220,FTKn.DE,11945712.474421043,75,2026-02-20
221,G1AG.DE,21634687.969539892,75,2026-02-20
222,G24n.DE,22602304.156939328,75,2026-02-20
223,GALD.S,70980641.54376256,75,2026-02-20
224,GALE.S,11832939.407753505,75,2026-02-20
225,GALP.LS,37440742.339356095,75,2026-02-20
226,GASI.MI,97183930.71177435,73,2026-02-20
227,GAW.L,24218138.594635256,75,2026-02-20
228,GBFG.DE,9895356.77074163,75,2026-02-20
229,GBLB.BR,7301076.665540484,75,2026-02-20
230,GEBN.S,52124510.177664466,75,2026-02-20
231,GETIb.ST,13863082.217322785,75,2026-02-20
232,GETP.PA,12769184.650543517,75,2026-02-20
233,GF.S,17390747.56831558,75,2026-02-20
234,GFCP.PA,14321400.840573221,75,2026-02-20
235,GFTU_u.L,4523717.185689407,75,2026-02-20
236,GIVN.S,83550696.85800898,75,2026-02-20
237,GJFG.OL,9196938.933263374,75,2026-02-20
238,GL9.I,8149693.822000232,75,2026-02-20
239,GLEN.L,238847402.6014797,75,2026-02-20
240,GMAB.CO,37786041.2776653,75,2026-02-20
241,GRG.L,11060992.633897722,75,2026-02-20
242,GRLS.MC,16833279.534373708,75,2026-02-20
243,GSK.L,225540125.9908958,75,2026-02-20
244,GTT.PA,17216715.982702315,75,2026-02-20
245,HAGG.DE,43759741.11033281,75,2026-02-20
246,HBANC.S,32341919.218269438,75,2026-02-20
247,HEIG.DE,96311054.31310456,75,2026-02-20
248,HEIN.AS,61432593.78675139,75,2026-02-20
249,HEIO.AS,14883417.73997185,75,2026-02-20
250,HEXAb.ST,45099624.05000225,75,2026-02-20
251,HIAB.HE,5083796.620569882,75,2026-02-20
252,HIK.L,16503349.50470142,75,2026-02-20
253,HLMA.L,40399400.58140236,75,2026-02-20
254,HLN.L,80743699.46357782,75,2026-02-20
255,HMb.ST,41275392.5500584,75,2026-02-20
256,HNKG_p.DE,34848912.35329373,75,2026-02-20
257,HNRGn.DE,36799679.64868172,75,2026-02-20
258,HOLMb.ST,9097306.664225714,75,2026-02-20
259,HOLN.S,118925373.79898295,75,2026-02-20
260,HOTG.DE,35033750.81263384,75,2026-02-20
261,HPOLb.ST,4986690.148205421,75,2026-02-20
262,HRA.MI,15735051.955710333,73,2026-02-20
263,HRMS.PA,135469051.78298667,75,2026-02-20
264,HSBA.L,323229729.34146714,75,2026-02-20
265,HSX.L,25810442.571497474,75,2026-02-20
266,HUBN.S,6711304.225417313,75,2026-02-20
267,HUH1V.HE,7624880.825101296,75,2026-02-20
268,HWDN.L,17939795.59846966,75,2026-02-20
269,IBE.MC,147187895.17160738,75,2026-02-20
270,ICAG.L,83012873.78961518,75,2026-02-20
271,ICGIN.L,28890169.5106586,75,2026-02-20
272,IDR.MC,51009901.42521826,75,2026-02-20
273,IETB.BR,12204783.710047286,75,2026-02-20
274,IFXGn.DE,181475878.06644553,75,2026-02-20
275,IG.MI,39748256.36830436,73,2026-02-20
276,IGG.L,17133010.60909686,75,2026-02-20
277,IHG.L,58504470.228378534,75,2026-02-20
278,III.L,112601515.96213293,75,2026-02-20
279,IMB.L,81480095.21821919,75,2026-02-20
280,IMCD.AS,30193095.557472967,75,2026-02-20
281,IMI.L,24177571.184786484,75,2026-02-20
282,INCH.L,8251844.250483243,75,2026-02-20
283,INDT.ST,8915167.782667123,75,2026-02-20
284,INDUc.ST,23122522.230234213,75,2026-02-20
285,INF.L,45152122.83026786,75,2026-02-20
286,INGA.AS,186172110.90412912,75,2026-02-20
287,INPST.AS,25603026.36203021,75,2026-02-20
288,INVEb.ST,123685345.5560113,75,2026-02-20
289,INVP.L,12383560.91453577,75,2026-02-20
290,INWT.MI,30463501.953608897,73,2026-02-20
291,IPN.PA,14052239.517870491,75,2026-02-20
292,ISP.MI,330970779.81823486,73,2026-02-20
293,ISS.CO,14044886.622070605,75,2026-02-20
294,ITPG.MI,16320233.200117392,73,2026-02-20
295,ITRK.L,25289918.028742336,75,2026-02-20
296,ITV.L,9878576.736061849,75,2026-02-20
297,ITX.MC,110425872.52586828,75,2026-02-20
298,IVG.MI,23193525.84394637,73,2026-02-20
299,JD.L,18309869.739052936,75,2026-02-20
